Test_Type,Parameter_Value,Parameter_Unit,Time_ms
Test_1_FileSize,212.0,KB,185.6250
Test_1_FileSize,213.0,KB,186.4062
Test_1_FileSize,214.0,KB,187.1875
Test_1_FileSize,215.0,KB,187.9688
Test_1_FileSize,216.0,KB,188.7500
Test_1_FileSize,217.0,KB,189.5312
Test_1_FileSize,218.0,KB,190.3125
Test_1_FileSize,219.0,KB,191.0937
Test_1_FileSize,220.0,KB,191.8750
Test_1_FileSize,221.0,KB,192.6562
Test_1_FileSize,222.0,KB,193.4375
Test_1_FileSize,223.0,KB,194.2188
Test_1_FileSize,224.0,KB,195.0000
Test_1_FileSize,225.0,KB,195.7812
Test_1_FileSize,226.0,KB,196.5625
Test_1_FileSize,227.0,KB,197.3437
Test_1_FileSize,228.0,KB,198.1250
Test_1_FileSize,229.0,KB,198.9062
Test_1_FileSize,230.0,KB,199.6875
Test_1_FileSize,231.0,KB,200.4688
Test_1_FileSize,232.0,KB,201.2500
Test_1_FileSize,233.0,KB,202.0312
Test_1_FileSize,234.0,KB,202.8125
Test_1_FileSize,235.0,KB,203.5938
Test_1_FileSize,236.0,KB,204.3750
Test_1_FileSize,237.0,KB,205.1562
Test_1_FileSize,238.0,KB,205.9375
Test_1_FileSize,239.0,KB,206.7187
Test_1_FileSize,240.0,KB,207.5000
Test_1_FileSize,241.0,KB,208.2812
Test_1_FileSize,242.0,KB,209.0625
Test_1_FileSize,243.0,KB,209.8438
Test_1_FileSize,244.0,KB,210.6250
Test_1_FileSize,245.0,KB,211.4062
Test_1_FileSize,246.0,KB,212.1875
Test_1_FileSize,247.0,KB,212.9687
Test_1_FileSize,248.0,KB,213.7500
Test_1_FileSize,249.0,KB,214.5312
Test_1_FileSize,250.0,KB,215.3125
Test_1_FileSize,251.0,KB,216.0938
Test_1_FileSize,252.0,KB,216.8750
Test_1_FileSize,253.0,KB,217.6562
Test_1_FileSize,254.0,KB,218.4375
Test_1_FileSize,255.0,KB,219.2188
Test_1_FileSize,256.0,KB,220.0000
Test_1_FileSize,257.0,KB,220.7812
Test_1_FileSize,258.0,KB,221.5625
Test_1_FileSize,259.0,KB,222.3437
Test_1_FileSize,260.0,KB,223.1250
Test_1_FileSize,261.0,KB,223.9062
Test_1_FileSize,262.0,KB,224.6875
Test_1_FileSize,263.0,KB,225.4688
Test_1_FileSize,264.0,KB,226.2500
Test_1_FileSize,265.0,KB,227.0312
Test_1_FileSize,266.0,KB,227.8125
Test_1_FileSize,267.0,KB,228.5937
Test_1_FileSize,268.0,KB,229.3750
Test_1_FileSize,269.0,KB,230.1562
Test_1_FileSize,270.0,KB,230.9375
Test_1_FileSize,271.0,KB,231.7188
Test_1_FileSize,272.0,KB,232.5000
Test_1_FileSize,273.0,KB,233.2812
Test_1_FileSize,274.0,KB,234.0625
Test_1_FileSize,275.0,KB,234.8438
Test_1_FileSize,276.0,KB,235.6250
Test_1_FileSize,277.0,KB,236.4062
Test_1_FileSize,278.0,KB,237.1875
Test_1_FileSize,279.0,KB,237.9687
Test_1_FileSize,280.0,KB,238.7500
Test_1_FileSize,281.0,KB,239.5312
Test_1_FileSize,282.0,KB,240.3125
Test_1_FileSize,283.0,KB,241.0938
Test_1_FileSize,284.0,KB,241.8750
Test_1_FileSize,285.0,KB,242.6562
Test_1_FileSize,286.0,KB,243.4375
Test_1_FileSize,287.0,KB,244.2187
Test_1_FileSize,288.0,KB,245.0000
Test_1_FileSize,289.0,KB,245.7812
Test_1_FileSize,290.0,KB,246.5625
Test_1_FileSize,291.0,KB,247.3438
Test_1_FileSize,292.0,KB,248.1250
Test_1_FileSize,293.0,KB,248.9062
Test_1_FileSize,294.0,KB,249.6875
Test_1_FileSize,295.0,KB,250.4688
Test_1_FileSize,296.0,KB,251.2500
